raw_name,canonical_name
Man Utd,Man United
Manchester United,Man United
Man United,Man United
Man City,Man City
Manchester City,Man City
Spurs,Tottenham
Tottenham Hotspur,Tottenham
Wolves,Wolves
Wolverhampton Wanderers,Wolves
Nott'm Forest,Nott'm Forest
Nottingham Forest,Nott'm Forest
Sheff Utd,Sheffield United
Sheffield United,Sheffield United
Newcastle United,Newcastle
Newcastle,Newcastle
West Ham United,West Ham
West Ham,West Ham
Brighton & Hove Albion,Brighton
Brighton,Brighton
Leeds United,Leeds
Leeds,Leeds
Leicester City,Leicester
Leicester,Leicester
Norwich City,Norwich
Norwich,Norwich
Watford FC,Watford
Watford,Watford
AFC Bournemouth,Bournemouth
Bournemouth,Bournemouth
Bayern München,Bayern Munich
Bayern Munich,Bayern Munich
Borussia Dortmund,Dortmund
Dortmund,Dortmund
Bayer 04 Leverkusen,Leverkusen
Leverkusen,Leverkusen
Eintracht Frankfurt,Ein Frankfurt
Frankfurt,Ein Frankfurt
Borussia Mönchengladbach,M'gladbach
Gladbach,M'gladbach
RB Leipzig,RB Leipzig
Real Madrid,Real Madrid
FC Barcelona,Barcelona
Barcelona,Barcelona
Atlético Madrid,Ath Madrid
Atletico Madrid,Ath Madrid
Sevilla FC,Sevilla
Sevilla,Sevilla
Real Sociedad,Sociedad
Sociedad,Sociedad
Athletic Club,Ath Bilbao
Bilbao,Ath Bilbao
Inter Milan,Inter
Inter,Inter
AC Milan,Milan
Milan,Milan
Juventus,Juventus
Napoli,Napoli
AS Roma,Roma
Roma,Roma
Lazio,Lazio
Atalanta,Atalanta
